n,top_k,observed_pct,observed_ci_low,observed_ci_high,never_observed_pct,final_topk_pct,final_topk_ci_low,final_topk_ci_high,dropout_pct,dropout_ci_low,dropout_ci_high,mean_first_depth_observed,mean_persistent_depth_final
817,1,0.2729498164014688,0.24351898753656673,0.30450579116672033,0.7270501835985312,0.19706242350061198,0.17123118695943473,0.22572909729427693,0.12239902080783353,0.10167557431654639,0.14665673959161546,0.8798846893017297,0.9412156166814551
817,3,0.4920440636474908,0.45788069667873504,0.5262818966450998,0.5079559363525092,0.40024479804161567,0.36719114707346917,0.43423213844846015,0.18482252141982863,0.15970307364960512,0.21289196956385248,0.8496801705756929,0.9047619047619047
817,5,0.5752753977968176,0.5411062292737416,0.6087400031238208,0.4247246022031824,0.5091799265605875,0.474937793738177,0.5433361370420137,0.19216646266829865,0.16661493429844035,0.22059925353916968,0.8360942249240122,0.8900240384615384
817,10,0.6891064871481029,0.6565449998684867,0.7198979742034388,0.31089351285189715,0.6474908200734394,0.6141103977935184,0.679490756741543,0.18849449204406366,0.1631570940649035,0.21674752146063034,0.8235219487439737,0.8760464488252768
817,20,0.7686658506731946,0.7385337034846511,0.7962833373489258,0.2313341493268054,0.7466340269277846,0.715703347489158,0.7752562594719615,0.21664626682986537,0.18975907605046152,0.24618559386765668,0.8001023657870792,0.8593676814988289
817,50,0.8592411260709915,0.8337095199063659,0.8814103046250911,0.14075887392900854,0.847001223990208,0.8206972075523759,0.8700573759388269,0.2668298653610771,0.23764355985123053,0.2981985983319294,0.7580891330891331,0.830770024772915
817,100,0.9179926560587516,0.8971648259938435,0.9349081555308331,0.08200734394124842,0.9020807833537332,0.8797804271028616,0.9206177410694848,0.34149326805385555,0.3097859279903812,0.3746842005383285,0.7098571428571429,0.8059701492537313
