model,n_observed,median_prob_at_rank_entry,median_final_prob_observed,share_entry_below_1pct,rank_first_depth,rank_coverage,p5_first_depth,p5_coverage,p5_paired_n,p5_paired_depth_shift,p10_first_depth,p10_coverage,p10_paired_n,p10_paired_depth_shift
Qwen2.5-14B,582,0.018484028987586498,0.07890455052256584,0.3075601374570447,0.8722794959908361,0.7123623011015912,0.8933205409356725,0.5581395348837209,456,0.04166666666666665,0.8964860748476935,0.46878824969400246,383,0.05510226283724977
Gemma-7B,625,0.013204813934862614,0.07163071632385254,0.4368,0.8489714285714286,0.7649938800489596,0.8839512904398401,0.4810281517747858,393,0.07460923300617957,0.8684331797235023,0.379436964504284,310,0.0748847926267281
Llama-3.1-8B,603,0.015826448798179626,0.0918961763381958,0.373134328358209,0.8328669154228856,0.7380660954712362,0.8793721330275229,0.5336597307221542,436,0.08615252293577981,0.8834696261682243,0.3929008567931457,321,0.12110591900311526
Qwen2.5-7B,563,0.01745271123945713,0.06971614807844162,0.2557726465364121,0.8235219487439737,0.6891064871481029,0.8748110355253212,0.46266829865361075,378,0.0890967498110355,0.8881195335276967,0.3598531211750306,294,0.11443148688046646
Mistral-7B,598,0.0082368073053658,0.08613313734531403,0.5451505016722408,0.7880434782608695,0.7319461444308446,0.8754443127962085,0.5165238678090576,422,0.12544431279620852,0.8943269230769231,0.397796817625459,325,0.17134615384615384
Pythia-6.9B,638,0.004639736609533429,0.07884982973337173,0.7210031347962382,0.45400666144200624,0.780905752753978,0.6387530562347188,0.5006119951040392,409,0.22684902200489,0.65625,0.39167686658506734,320,0.2876953125
