model,layers,most_influential_layer_number,top10_prevalence_at_layer,previous_layer_prevalence,final_layer_prevalence,previous_layer_median_rank,median_rank_at_layer,next_layer_median_rank,raw_dropout_pct,masked_dropout_pct,dropout_reduction_pct,raw_persistent_depth,masked_persistent_depth
Llama-3.1-8B,32,25,0.2998776009791922,0.20318237454100369,0.7172582619339045,115.0,66.0,61.0,0.15177478580171358,0.1211750305997552,0.030599755201958373,0.8647610921501706,0.8662542662116041
Mistral-7B,32,10,0.01835985312117503,0.0,0.6793145654834761,10883.0,12810.0,14054.0,0.18482252141982863,0.1701346389228886,0.01468788249694003,0.8345720720720721,0.8345720720720721
Qwen2.5-14B,48,47,0.6364749082007344,0.5483476132190942,0.6768665850673194,7.0,4.0,4.0,0.16768665850673195,0.1456548347613219,0.022031823745410045,0.9002411091018686,0.8997513562386981
Qwen2.5-7B,28,27,0.5348837209302325,0.408812729498164,0.6474908200734394,21.0,8.0,4.0,0.18849449204406366,0.1664626682986536,0.022031823745410045,0.8760464488252768,0.881514987847691
Gemma-7B,28,27,0.004895960832313341,0.3769889840881273,0.7172582619339045,36.0,1373.0,3.0,0.47980416156670747,0.23378212974296206,0.2460220318237454,0.999756216479766,0.9058995611896636
Pythia-6.9B,32,9,0.29253365973072215,0.21909424724602203,0.7111383108935129,156.0,32.0,18.0,0.2839657282741738,0.2594859241126071,0.0244798041615667,0.614565404475043,0.6153184165232358
