model,layer_number,normalized_depth,top10_prevalence,median_target_rank,raw_dropout_pct,masked_dropout_pct,dropout_reduction_pct,raw_persistent_depth,masked_persistent_depth
Llama-3.1-8B,1,0.03125,0.0,28559.0,0.15177478580171358,0.15177478580171358,0.0,0.8647610921501706,0.8647610921501706
Llama-3.1-8B,2,0.0625,0.0,59129.0,0.15177478580171358,0.15177478580171358,0.0,0.8647610921501706,0.8647610921501706
Llama-3.1-8B,3,0.09375,0.0,40689.0,0.15177478580171358,0.15177478580171358,0.0,0.8647610921501706,0.8647610921501706
Llama-3.1-8B,4,0.125,0.0,46584.0,0.15177478580171358,0.15177478580171358,0.0,0.8647610921501706,0.8647610921501706
Llama-3.1-8B,5,0.15625,0.0,84066.0,0.15177478580171358,0.15177478580171358,0.0,0.8647610921501706,0.8647610921501706
Llama-3.1-8B,6,0.1875,0.0,86376.0,0.15177478580171358,0.15177478580171358,0.0,0.8647610921501706,0.8647610921501706
Llama-3.1-8B,7,0.21875,0.0,71989.0,0.15177478580171358,0.15177478580171358,0.0,0.8647610921501706,0.8647610921501706
Llama-3.1-8B,8,0.25,0.0,44556.0,0.15177478580171358,0.15177478580171358,0.0,0.8647610921501706,0.8647610921501706
Llama-3.1-8B,9,0.28125,0.0,53747.0,0.15177478580171358,0.15177478580171358,0.0,0.8647610921501706,0.8647610921501706
Llama-3.1-8B,10,0.3125,0.0,29022.0,0.15177478580171358,0.15177478580171358,0.0,0.8647610921501706,0.8647610921501706
Llama-3.1-8B,11,0.34375,0.0012239902080783353,20395.0,0.15177478580171358,0.15055079559363524,0.0012239902080783405,0.8647610921501706,0.8647610921501706
Llama-3.1-8B,12,0.375,0.0,26575.0,0.15177478580171358,0.15177478580171358,0.0,0.8647610921501706,0.8647610921501706
Llama-3.1-8B,13,0.40625,0.0,17116.0,0.15177478580171358,0.15177478580171358,0.0,0.8647610921501706,0.8647610921501706
Llama-3.1-8B,14,0.4375,0.01346389228886169,16451.0,0.15177478580171358,0.15055079559363524,0.0012239902080783405,0.8647610921501706,0.8652943686006825
Llama-3.1-8B,15,0.46875,0.03182374541003672,17388.0,0.15177478580171358,0.15055079559363524,0.0012239902080783405,0.8647610921501706,0.865401023890785
Llama-3.1-8B,16,0.5,0.04773561811505508,10387.0,0.15177478580171358,0.1481028151774786,0.0036719706242349937,0.8647610921501706,0.8652410409556314
Llama-3.1-8B,17,0.53125,0.04895960832313342,7323.0,0.15177478580171358,0.14687882496940025,0.004895960832313334,0.8647610921501706,0.8646011092150171
Llama-3.1-8B,18,0.5625,0.08935128518971848,4260.0,0.15177478580171358,0.14320685434516525,0.008567931456548328,0.8647610921501706,0.8653476962457338
Llama-3.1-8B,19,0.59375,0.08445532435740515,2186.0,0.15177478580171358,0.1481028151774786,0.0036719706242349937,0.8647610921501706,0.8647077645051194
Llama-3.1-8B,20,0.625,0.09302325581395349,1041.0,0.15177478580171358,0.15055079559363524,0.0012239902080783405,0.8647610921501706,0.865134385665529
Llama-3.1-8B,21,0.65625,0.11138310893512852,616.0,0.15177478580171358,0.14687882496940025,0.004895960832313334,0.8647610921501706,0.8644944539249146
Llama-3.1-8B,22,0.6875,0.13953488372093023,250.0,0.15177478580171358,0.14443084455324356,0.007343941248470015,0.8647610921501706,0.8655076791808873
Llama-3.1-8B,23,0.71875,0.1664626682986536,183.0,0.15177478580171358,0.14443084455324356,0.007343941248470015,0.8647610921501706,0.865401023890785
Llama-3.1-8B,24,0.75,0.20318237454100369,115.0,0.15177478580171358,0.14687882496940025,0.004895960832313334,0.8647610921501706,0.8655610068259386
Llama-3.1-8B,25,0.78125,0.2998776009791922,66.0,0.15177478580171358,0.1211750305997552,0.030599755201958373,0.8647610921501706,0.8662542662116041
Llama-3.1-8B,26,0.8125,0.2827417380660955,61.0,0.15177478580171358,0.14443084455324356,0.007343941248470015,0.8647610921501706,0.8645477815699659
Llama-3.1-8B,27,0.84375,0.30599755201958384,49.0,0.15177478580171358,0.15055079559363524,0.0012239902080783405,0.8647610921501706,0.8656143344709898
