template,n,top_k,observed_pct,observed_ci_low,observed_ci_high,never_observed_pct,final_topk_pct,final_topk_ci_low,final_topk_ci_high,dropout_pct,dropout_ci_low,dropout_ci_high,entered_then_disappeared_pct,entered_then_disappeared_ci_low,entered_then_disappeared_ci_high,mean_first_depth_observed,mean_persistent_depth_final,final_visibility_gains_vs_qa,final_visibility_losses_vs_qa,mcnemar_exact_p_vs_qa
qa,817,10,0.6891064871481029,0.6565449998684867,0.7198979742034388,0.31089351285189715,0.6474908200734394,0.6141103977935184,0.679490756741543,0.18849449204406366,0.1631570940649035,0.21674752146063034,0.0416156670746634,0.02993139261500371,0.05759033042748126,0.8235219487439737,0.8760464488252768,0,0,
instruction,817,10,0.7723378212974297,0.7423491689246468,0.7997774442210065,0.22766217870257033,0.7441860465116279,0.7131729930650772,0.7729135656879915,0.1664626682986536,0.14249348270690482,0.1935536989461717,0.028151774785801713,0.018831109678098527,0.04188884822010697,0.8105614670590899,0.8418703007518797,110,31,1.4384251098332969e-11
question_answer,817,10,0.6964504283965728,0.6640634462766023,0.7269986724194756,0.3035495716034272,0.6572827417380661,0.6240698069801016,0.6890235403871632,0.22276621787025705,0.19556858418801948,0.25255870625022575,0.03916768665850673,0.02787916502359744,0.0547695098108367,0.817599799146372,0.8649906890130353,70,62,0.542507417919399
