model,n_frequent,frequent_first_depth,frequent_never_pct,frequent_dropout_pct,n_tail,tail_first_depth,tail_never_pct,tail_dropout_pct,first_depth_frequent_minus_tail
Llama-3.1-8B,521,0.8358024691358025,0.2226487523992322,0.1420345489443378,296,0.8268623737373737,0.33108108108108103,0.16891891891891891,0.008940095398428771
Mistral-7B,522,0.7930871212121212,0.24137931034482762,0.18007662835249041,295,0.7781559405940595,0.3152542372881356,0.19322033898305085,0.014931180618061757
Qwen2.5-14B,521,0.8669407894736842,0.27063339731285985,0.18234165067178504,296,0.882322607260726,0.31756756756756754,0.14189189189189189,-0.01538181778704173
Qwen2.5-7B,521,0.768979057591623,0.26679462571976964,0.2571976967370441,296,0.9386345698500395,0.3885135135135135,0.06756756756756757,-0.16965551225841646
Gemma-7B,521,0.7930012812299808,0.14395393474088292,0.727447216890595,296,0.9884277733439744,0.3952702702702703,0.04391891891891892,-0.19542649211399354
Pythia-6.9B,521,0.3353544776119403,0.09980806142034548,0.3704414587332054,296,0.783284023668639,0.42905405405405406,0.13175675675675674,-0.4479295460566987
